French,English
partie,part
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisse,leash
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
place,square
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
donner,give
type,type
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
côté,side
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
suite,after
venez,come
devant,in front of
minutes,minutes
mis,placed
droit,law
aujourd'hui,today
mari,husband
eau,water
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
plutôt,rather
aura,will have
filles,girls
